"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","119","POST - should create a new booking","chromium","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","83","NEGATIVE - should fail auth with invalid credentials","webkit","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","85","GET - should retrieve created booking by ID","webkit","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","81","DELETE - should delete booking with valid auth token","webkit","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","91","PUT - should update booking with valid auth token","webkit","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","81","NEGATIVE - should return 404 when getting non-existent booking","webkit","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","92","POST - should create a new booking","firefox","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","92","GET - should return list of bookings","firefox","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","89","GET - should retrieve created booking by ID","chromium","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","85","GET - should retrieve created booking by ID","firefox","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","83","NEGATIVE - should fail auth with invalid credentials","firefox","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","86","DELETE - should delete booking with valid auth token","chromium","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","87","NEGATIVE - should fail auth with invalid credentials","chromium","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","92","GET - should return list of bookings","webkit","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","81","NEGATIVE - should return 404 when getting non-existent booking","firefox","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","85","NEGATIVE - should return 403 when deleting with invalid token","chromium","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","82","DELETE - should delete booking with valid auth token","firefox","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","98","PUT - should update booking with valid auth token","chromium","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","90","NEGATIVE - should return 403 when deleting with invalid token","firefox","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","96","POST - should create a new booking","webkit","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","122","GET - should return list of bookings","chromium","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","91","PUT - should update booking with valid auth token","firefox","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","92","NEGATIVE - should return 403 when deleting with invalid token","webkit","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
"","85","NEGATIVE - should return 404 when getting non-existent booking","chromium","2026-08-02","passed","2026-08-02","Restful Booker API","api/booking.spec.ts","",""
